X축 우선순위,총계,,,,,,,,,
나이별,연도,합계(명),전년도(명),성장률(%),구성비(%),목적별,,,,
,,,,,,관광,상용,공용,유학연수,기타
11 ~ 20,2011년 12월,52736,39153,0.347,0,48106,112,178,1479,2861
11 ~ 20,2012년 01월,45150,24586,0.836,0,42173,52,158,836,1931
11 ~ 20,2012년 02월,32840,28521,0.151,0,28232,56,73,2860,1619
11 ~ 20,2012년 03월,58114,45409,0.28,0,52986,91,73,2128,2836
11 ~ 20,2012년 04월,33061,23769,0.391,0,30824,75,179,346,1637
11 ~ 20,2012년 05월,27250,19561,0.393,0,24545,107,123,458,2017
11 ~ 20,2012년 06월,47643,36520,0.305,0,42679,91,86,1367,3420
11 ~ 20,2012년 07월,102202,80105,0.276,0.001,96405,120,171,685,4821
11 ~ 20,2012년 08월,125084,100436,0.245,0.001,115128,90,254,5545,4067
11 ~ 20,2012년 09월,37397,33978,0.101,0,32859,102,64,3401,971
11 ~ 20,2012년 10월,34162,31898,0.071,0,31719,129,58,1042,1214
11 ~ 20,2012년 11월,28776,26685,0.078,0,26518,128,87,714,1329
11 ~ 20,2012년 12월,53554,52736,0.016,0,48741,103,161,1573,2976
11 ~ 20,2013년 01월,39478,45150,-0.126,0,36669,67,142,753,1847
11 ~ 20,2013년 02월,48567,32840,0.479,0,43965,52,92,3285,1173
11 ~ 20,2013년 03월,56672,58114,-0.025,0,51027,65,102,3050,2428
11 ~ 20,2013년 04월,25828,33061,-0.219,0,23553,132,233,429,1481
11 ~ 20,2013년 05월,25181,27250,-0.076,0,22516,201,133,693,1638
11 ~ 20,2013년 06월,51830,47643,0.088,0,46372,712,109,1625,3012
11 ~ 20,2013년 07월,117975,102202,0.154,0.001,111740,1912,244,613,3466
11 ~ 20,2013년 08월,144083,125084,0.152,0.001,132397,1637,263,6316,3470
11 ~ 20,2013년 09월,36313,37397,-0.029,0,30334,196,69,4282,1432
11 ~ 20,2013년 10월,31264,34162,-0.085,0,29182,148,92,737,1105
11 ~ 20,2013년 11월,28283,28776,-0.017,0,25924,105,111,981,1162
11 ~ 20,2013년 12월,58026,53554,0.084,0,53017,85,202,2000,2722
11 ~ 20,2014년 01월,51181,39478,0.296,0,48153,51,247,786,1944
11 ~ 20,2014년 02월,43454,48567,-0.105,0,37884,56,119,4227,1168
11 ~ 20,2014년 03월,51194,56672,-0.097,0,45214,83,108,3425,2364
11 ~ 20,2014년 04월,35648,25828,0.38,0,33506,80,249,536,1277
11 ~ 20,2014년 05월,35143,25181,0.396,0,32492,94,231,908,1418
11 ~ 20,2014년 06월,71480,51830,0.379,0,66538,127,118,2306,2391
11 ~ 20,2014년 07월,156281,117975,0.325,0.001,150450,1585,275,701,3270
11 ~ 20,2014년 08월,167732,144083,0.164,0.001,154910,492,313,8462,3555
11 ~ 20,2014년 09월,41381,36313,0.14,0,34425,207,105,5482,1162
11 ~ 20,2014년 10월,35470,31264,0.135,0,33401,177,62,950,880
11 ~ 20,2014년 11월,31736,28283,0.122,0,28433,87,246,1456,1514
11 ~ 20,2014년 12월,65508,58026,0.129,0,59613,85,224,3080,2506
11 ~ 20,2015년 01월,45038,51181,-0.12,0,41852,52,282,971,1881
11 ~ 20,2015년 02월,80621,43454,0.855,0,73423,51,121,5706,1320
11 ~ 20,2015년 03월,56131,51194,0.096,0,48227,73,114,5529,2188
11 ~ 20,2015년 04월,38457,35648,0.079,0,35836,58,396,749,1418
